GenusSpecies,Source,habitat,location,commonname,othernames,endemic,location2,AUSnative,USAnative,nonfeed,benthic,surwcol,algphyto,macvascu,detritus,invlvfsh,fshcrcrb,blood,eggs,other,maxtl_cm,matuage,longevity,fecundity,serial,guarder,open.substratum.spawner,broodhider,livebearers,Pelagophils,euryhaline,Aestivates.during.drought,mintemp,maxtemp,muck,claysilt,sand,gravel,cobble,boulder,bedrock,vegetat,debrdetr,lwd,pelagic,rivers,sprgsubt,lacustrine,potanadr,slowcurr,modcurr,fastcurr,IUCNstatus,list1,list2,list3,list4,list5,extinct
Lepomis macrochirus,http://www.fishtraits.info/,freshwater,North America,bluegill,,FALSE,USA,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,41,2,10,50000,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-3.6,32.9,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,LC,FALSE,FALSE,FALSE,FALSE,FALSE,O
Lepomis megalotis,http://www.fishtraits.info/,freshwater,North America,longear sunfish,,FALSE,USA,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,24,2,7,22119,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,-3.8,32.5,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,LC,FALSE,FALSE,FALSE,FALSE,FALSE,O
Lepomis microlophus,http://www.fishtraits.info/,freshwater,North America,redear sunfish,,FALSE,USA,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,43.2,2,5,80000,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.9,33,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,LC,FALSE,FALSE,FALSE,FALSE,FALSE,O
Lota lota,"http://www.fishtraits.info/, fishbase",freshwater,Europe,burbot,,FALSE,USA,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,152,3,20,1362000,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,LC,FALSE,FALSE,FALSE,FALSE,FALSE,O
Lucania parva,http://www.fishtraits.info/,freshwater,North America,rainwater killifish,,FALSE,USA,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,6.2,0.4,NA,NA,NA,FALSE,TRUE,FALSE,FALSE,NA,TRUE,FALSE,2.1,33.1,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,LC,FALSE,FALSE,FALSE,FALSE,FALSE,O
Macrhybopsis aestivalis,http://www.fishtraits.info/,freshwater,North America,speckled chub,,FALSE,USA,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,7.6,1,1.5,796,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,-2.3,34.6,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,LC,TRUE,FALSE,TRUE,FALSE,FALSE,O
Meda fulgida,http://www.fishtraits.info/,freshwater,North America,spikedace,,FALSE,USA,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,9.1,1,2.5,1000,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0,37.7,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,EN,TRUE,FALSE,FALSE,TRUE,FALSE,O
Melanotaenia australis,"fishbase, fishes of australia, https://rainbowfish.angfaqld.org.au/Australis.htm",freshwater,Australia,western rainbowfish,,TRUE,AUS,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,11,NA,NA,200,TRUE,FALSE,TRUE,FALSE,FALSE,NA,FALSE,FALSE,,,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,LC,FALSE,FALSE,FALSE,FALSE,FALSE,O
Melanotaenia splendida,"fishbase, fishes of australia",freshwater,Australia,eastern rainbowfish,,TRUE,AUS,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,20,NA,3,200,TRUE,FALSE,TRUE,FALSE,FALSE,NA,FALSE,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,LC,FALSE,FALSE,FALSE,FALSE,FALSE,O
Micropterus coosae,http://www.fishtraits.info/,freshwater,North America,redeye bass,,FALSE,USA,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,47,3,10,2334,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-0.6,31.9,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,LC,FALSE,FALSE,FALSE,FALSE,FALSE,O
Micropterus dolomieu,http://www.fishtraits.info/,freshwater,North America,smallmouth bass,,FALSE,USA,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,69,3.5,15,27000,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-8,28.3,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,LC,FALSE,FALSE,FALSE,FALSE,FALSE,O
Micropterus punctulatus,http://www.fishtraits.info/,freshwater,North America,spotted bass,,FALSE,USA,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,63.5,2.5,7,47000,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-0.9,32.8,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,LC,FALSE,FALSE,FALSE,FALSE,FALSE,O
Micropterus salmoides,http://www.fishtraits.info/,freshwater,North America,largemouth bass,,FALSE,USA,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,97,2.5,16,109314,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-3.3,32,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,LC,FALSE,FALSE,FALSE,FALSE,FALSE,O
Mogurnda clivicola,IUCN,freshwater,Australia,Flinders Ranges mogurnda,,FALSE,AUS,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,13,0.5,5,800,TRUE,TRUE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,,,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,NA,NA,NA,NA,EN,TRUE,FALSE,FALSE,TRUE,TRUE,O
Mogurnda larapintae,"fishbase, fishes of australia",freshwater,Australia,desert mogurnda,,TRUE,AUS,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,13,NA,NA,NA,FALSE,TRUE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,NT,TRUE,FALSE,FALSE,TRUE,FALSE,O
Morone chrysops,http://www.fishtraits.info/,freshwater,North America,white bass,,FALSE,USA,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,45,2,7,1000000,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,-6.2,31.7,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,LC,FALSE,FALSE,FALSE,FALSE,FALSE,O
Morone saxatilis,http://www.fishtraits.info/; fishbase.se,anadromous,North America,striped bass,,FALSE,USA,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,200,4.5,30,5000000,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,-1.7,31.9,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,LC,FALSE,FALSE,FALSE,FALSE,FALSE,O
Moxostoma congestum,http://www.fishtraits.info/,freshwater,North America,gray redhorse,,FALSE,USA,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,65,4,6,25000,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0.4,35,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,LC,TRUE,FALSE,FALSE,FALSE,FALSE,O
Mugil cephalus,fishbase,catadromous ,Worldwide,flathead grey mullet,,FALSE,AUS,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,120,3,16,"4,800,000",FALSE,FALSE,TRUE,FALSE,FALSE,NA,TRUE,FALSE,,,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,LC,FALSE,FALSE,FALSE,FALSE,FALSE,O
Nematalosa erebi,fishbase,potamodromous,Australia,"bony bream, Australian river gizzard shad",,FALSE,AUS,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,48,2,10,"880,000",TRUE,FALSE,TRUE,FALSE,FALSE,NA,TRUE,FALSE,,,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,LC,FALSE,FALSE,FALSE,FALSE,FALSE,O
Neosilurus gloveri,fishbase,freshwater,Australia,Dalhousie catfish,,TRUE,AUS,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,9,1,NA,"1,197",NA,FALSE,TRUE,FALSE,FALSE,NA,FALSE,FALSE,,,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,CR,TRUE,FALSE,FALSE,TRUE,TRUE,O
Notemigonus crysoleucas,http://www.fishtraits.info/,freshwater,North America,golden shiner,,FALSE,USA,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,30,1,8,4700,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,-9.4,29.9,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,LC,FALSE,FALSE,FALSE,FALSE,FALSE,O
Notropis dorsalis,fishbase,freshwater,North America,bigmouth shiner,,FALSE,USA,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,8,NA,NA,NA,FALSE,FALSE,TRUE,FALSE,FALSE,NA,FALSE,FALSE,,,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,LC,FALSE,FALSE,FALSE,FALSE,FALSE,O
Notropis girardi,http://www.fishtraits.info/,freshwater,North America,Arkansas river shiner,,FALSE,USA,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,5.7,NA,3,3246,FALSE,FALSE,TRUE,FALSE,FALSE,NA,FALSE,FALSE,-5.3,35.7,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,VU,TRUE,FALSE,FALSE,FALSE,FALSE,O
Notropis jemezanus,http://www.fishtraits.info/,freshwater,North America,Rio Grande shiner,,TRUE,USA,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,7.5,1,2,NA,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,LC,TRUE,FALSE,TRUE,FALSE,FALSE,O
Notropis simus,http://www.fishtraits.info/,freshwater,North America,bluntnose shiner,Pecos bluntnose shiner,FALSE,AUS,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,6.3,1,3,2721,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,2.8,33.2,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,EN,TRUE,FALSE,FALSE,FALSE,FALSE,O
Notropis stramineus,http://www.fishtraits.info/,freshwater,North America,sand shiner,,FALSE,USA,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,8.1,1,3,2660,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,-11.4,30.1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,LC,FALSE,FALSE,FALSE,FALSE,FALSE,O
Oncorhynchus aguabonita,fishbase,freshwater,North America,golden trout,,TRUE,USA,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,71,NA,7,NA,FALSE,FALSE,FALSE,TRUE,FALSE,NA,FALSE,FALSE,,,FALSE,FALSE,TRUE,TRUE,TRUE,NA,NA,NA,NA,NA,FALSE,TRUE,FALSE,TRUE,NA,TRUE,TRUE,NA,NE,NA,NA,NA,NA,NA,NA
Oncorhynchus apache,http://www.fishtraits.info/,freshwater,North America,Apache trout,,TRUE,USA,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,55,4,7,686,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,-7.5,26.3,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,CR,TRUE,FALSE,TRUE,TRUE,TRUE,O
Oncorhynchus clarkii,http://www.fishtraits.info/,anadromous,East Pacific,cutthroat trout,,FALSE,USA,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,99,3,5,2700,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,-5.7,29,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,NE,FALSE,FALSE,FALSE,FALSE,FALSE,O
Oncorhynchus gilae,http://www.fishtraits.info/,freshwater,North America,Gila trout,,TRUE,USA,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,55,4,7,686,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,-7.5,26.3,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,EN,TRUE,FALSE,TRUE,TRUE,TRUE,O
Oncorhynchus mykiss,http://www.fishtraits.info/,anadromous,North America,rainbow trout,,FALSE,USA,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,120,4,7,27000,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,,,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,NE,FALSE,FALSE,FALSE,FALSE,FALSE,O
Oncorhynchus nerka,http://www.fishtraits.info/,anadromous,North America,sockeye salmon,,FALSE,USA,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,84,4,5,4000,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,,,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,LC,FALSE,FALSE,FALSE,FALSE,FALSE,O
Orthodon microlepidotus,http://www.fishtraits.info/,freshwater,North America,Sacramento blackfish,,TRUE,USA,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,55,2.5,8,346500,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,2.3,35.7,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,LC,FALSE,FALSE,FALSE,FALSE,FALSE,O
Perca flavescens,http://www.fishtraits.info/,freshwater,North America,yellow perch,,FALSE,USA,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,50,4,12,100000,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,LC,FALSE,FALSE,FALSE,FALSE,FALSE,O
Percina macrolepida,http://www.fishtraits.info/,freshwater,North America,bigscale logperch,,FALSE,USA,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,11,2,4,400,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,2,35.4,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,LC,FALSE,FALSE,FALSE,FALSE,FALSE,O
Percina maculata,fishbase,freshwater,North America,blackside darter,,FALSE,USA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,11,NA,NA,1758,FALSE,FALSE,FALSE,TRUE,FALSE,NA,FALSE,FALSE,,,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,LC,FALSE,FALSE,FALSE,FALSE,FALSE,O
Phenacobius mirabilis,http://www.fishtraits.info/,freshwater,North America,suckermouth minnow,,FALSE,USA,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,12,2,4.5,2000,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,-7.6,31.8,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,LC,FALSE,FALSE,FALSE,FALSE,FALSE,O
Pimephales promelas,http://www.fishtraits.info/,freshwater,North America,fathead minnow,,FALSE,USA,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,10,0.5,2,10164,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-16.1,29.1,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,LC,FALSE,FALSE,FALSE,FALSE,FALSE,O
Pimephales vigilax,http://www.fishtraits.info/,freshwater,North America,bullhead minnow,,FALSE,USA,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,7,1,5,700,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,-1.6,34.2,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,LC,FALSE,FALSE,FALSE,FALSE,FALSE,O
Poecilia formosa,http://www.fishtraits.info/,freshwater,North America,Amazon molly,,FALSE,USA,FALSE,TRUE,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,9.6,NA,NA,30,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,9.1,35.3,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,LC,FALSE,FALSE,FALSE,FALSE,FALSE,O
Poecilia latipinna,http://www.fishtraits.info/,Marine; freshwater; brackish,North America,sailfin molly,,FALSE,USA,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,15,0.4,2,300,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,7.9,32,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,LC,FALSE,FALSE,FALSE,FALSE,FALSE,O
Poecilia mexicana,http://www.fishtraits.info/,freshwater,North America,shortfin molly,,FALSE,non-native,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,11,0.3,NA,80,FALSE,FALSE,FALSE,FALSE,TRUE,NA,TRUE,FALSE,-1,-1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,LC,FALSE,FALSE,FALSE,FALSE,FALSE,O
Poecilia reticulata,http://www.fishtraits.info/,freshwater,North America,guppy,,FALSE,non-native,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,6,0.25,NA,100,TRUE,FALSE,FALSE,FALSE,TRUE,NA,FALSE,FALSE,-1,-1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,LC,FALSE,FALSE,FALSE,FALSE,FALSE,O
Poeciliopsis occidentalis,http://www.fishtraits.info/,freshwater,North America,Gila topminnow,,FALSE,USA,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,6,0.3,1,200,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,-1.7,32.9,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,LC,FALSE,FALSE,FALSE,FALSE,FALSE,O
Pomoxis annularis,http://www.fishtraits.info/,freshwater,North America,white crappie,,FALSE,USA,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,53,1.5,10,326000,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,-6.7,31.8,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,LC,FALSE,FALSE,FALSE,FALSE,FALSE,O
Pomoxis nigromaculatus,http://www.fishtraits.info/,freshwater,North America,black crappie,,FALSE,USA,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,49,2.5,8,188000,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-5.5,31.8,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,LC,FALSE,FALSE,FALSE,FALSE,FALSE,O
